,,,,,,,,
QB,,,,,,,,
Rank,Players,DK Rank,FD Rank,Site,Slot,Core DK,Core FD,Notes
1,Dak Prescott,1,,DK,CASH,,,Top weapons and 50.5 total. Elite track record vs Commanders.
2,Jayden Daniels,2,,DK,CASH,,,Rushing floor and upside. High team total against weak defense.
3,Jalen Hurts,3,,DK,CASH,,,Strong implied team total of 39.5 points in a favorable spot.
4,Brock Purdy,4,,DK,CASH,,,Massive 13.5 point favorite with a healthy 44.5 game total.
5,Lamar Jackson,5,,DK,CASH,,,High 46.5 total at home against a fast-paced Saints defense.
6,Caleb Williams,6,,DK,GPP,,,Elite offensive weapons and strong home matchup at Soldier Field.
7,Jordan Love,7,,DK,GPP,,,Increased pass volume with running back sidelined against Jets.
8,Justin Herbert,8,,DK,GPP,,,Solid 43.5 game total as a strong home favorite this week.
,,,,,,,,
RB,,,,,,,,
Rank,Players,DK Rank,FD Rank,Site,Slot,Core DK,Core FD,Notes
1,Bijan Robinson,1,,DK,CASH,Y,,Heavy touch volume with high red-zone upside against Panthers.
2,Derrick Henry,2,,DK,CASH,Y,,Big uptick in outside zone runs with key pass catchers out.
3,Christian McCaffrey,3,,DK,CASH,,,Elite workload as a massive 13.5 point home favorite.
4,Aaron Jones,4,,DK,CASH,,,True Bell cow with backfield teammate out against weak defense.
5,Saquon Barkley,5,,DK,CASH,,,Solid 39.5 game total as a touchdown home favorite on slate.
6,Breece Hall,6,,DK,GPP,,,Bell-cow role with heavy red-zone carries against light front.
7,David Montgomery,7,,DK,GPP,,,Narrow 2.5 point spread with strong 45.5 implied game total.
8,Chase Brown,8,,DK,GPP,,,Tight 2.5 point spread in a high 45.5 total matchup.
,,,,,,,,
WR,,,,,,,,
Rank,Players,DK Rank,FD Rank,Site,Slot,Core DK,Core FD,Notes
1,Jaxon Smith-Njigba,1,,DK,CASH,,,Strong road matchup with a solid 40.5 game total on slate.
2,CeeDee Lamb,2,,DK,CASH,,,Great home matchup with high urgency against vulnerable corner.
3,Ja'Marr Chase,3,,DK,CASH,,,Designed touches expected in a low ownership squeaky spot.
4,Garrett Wilson,4,,DK,CASH,,,Solid 44.5 game total in a favorable road underdog spot.
5,Justin Jefferson,5,,DK,CASH,,,Huge target and air yards share with New QB vs weak secondary.
6,Luther Burden,6,,DK,GPP,,,Elite yards after catch ability in high-scoring home offense.
7,Parker Washington,7,,DK,GPP,,,Elite slot route share and high efficiency against Denver defense.
8,DeVonta Smith,8,,DK,GPP,,,Strong 39.5 game total as a solid home favorite on slate.
,,,,,,,,
TE,,,,,,,,
Rank,Players,DK Rank,FD Rank,Site,Slot,Core DK,Core FD,Notes
1,Dalton Schultz,1,,DK,CASH,Y,,Tight 2.5 point spread with solid 45.5 game total.
2,Mark Andrews,2,,DK,CASH,,,Full route participation with top receiver sidelined at home.
3,Trey McBride,3,,DK,CASH,,,Solid matchup with high target upside on the road.
4,Colston Loveland,4,,DK,CASH,,,Strong offensive environment with high 48.5 game total.
5,Michael Mayer,5,,DK,CASH,,,Led team in route participation and catches as a cheap option.
6,Dallas Goedert,6,,DK,GPP,,,Solid touchdown favorite with a 39.5 total at home.
7,George Kittle,7,,DK,GPP,,,Massive 13.5 point home favorite with strong game script.
8,Tucker Kraft,8,,DK,GPP,,,Solid 44.5 game total as a home favorite against Jets.
,,,,,,,,
DST,,,,,,,,
Rank,Players,DK Rank,FD Rank,Site,Slot,Core DK,Core FD,Notes
1,Baltimore Ravens,1,,DK,CASH,,,DST Ranked by Projections
2,Seattle Seahawks,2,,DK,CASH,,,DST Ranked by Projections
3,New England Patriots,3,,DK,CASH,,,DST Ranked by Projections
4,San Francisco 49ers,4,,DK,CASH,,,DST Ranked by Projections
5,Philadelphia Eagles,5,,DK,CASH,,,DST Ranked by Projections
